Player_Id,Year,Team,Games_Played,Attempts,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Rushes_Over_Twenty_Yards,Rushes_Over_Forty_Yards,Fumbles
jon-arnett,TOTAL,--,123,964,3833,4,0,26,0,0,0,0,0
joseph-addai,2006,IndianapolisColts,16,226,1081,4.8,41,7,66,29.2,3,1,2
joseph-addai,2007,IndianapolisColts,15,261,1072,4.1,23,12,65,24.9,2,0,0
joseph-addai,2008,IndianapolisColts,12,155,544,3.5,23,5,34,21.94,1,0,1
joseph-addai,2009,IndianapolisColts,15,219,828,3.8,21,10,44,20.09,2,0,1
joseph-addai,2010,IndianapolisColts,8,116,495,4.3,46,4,31,26.72,1,1,2
joseph-addai,2011,IndianapolisColts,12,118,433,3.7,16,1,16,13.56,0,0,1
joseph-addai,TOTAL,--,78,1095,4453,4.1,170,39,256,23.38,9,2,7
josh-ashton,1972,NewEnglandPatriots,14,128,546,4.3,0,3,0,0,0,0,0
josh-ashton,1973,NewEnglandPatriots,12,93,305,3.3,0,0,0,0,0,0,0
josh-ashton,1974,NewEnglandPatriots,12,26,99,3.8,0,0,0,0,0,0,0
josh-ashton,1975,St.LouisCardinals,2,10,44,4.4,9,0,0,0,0,0,0
josh-ashton,TOTAL,--,40,257,994,3.9,9,3,0,0,0,0,0
josh-aubrey,2013,ClevelandBrowns,6,1,34,34,34,0,1,100,1,0,0
josh-aubrey,2014,HoustonTexans,2,0,0,0,0,0,0,0,0,0,0
josh-aubrey,2015,TennesseeTitans,1,0,0,0,0,0,0,0,0,0,0
josh-aubrey,TOTAL,--,9,1,34,34,34,0,1,100,1,0,0
julie-alfonse,1937,ClevelandRams,10,33,60,1.8,0,0,0,0,0,0,0
julie-alfonse,1938,ClevelandRams,10,16,16,1,0,0,0,0,0,0,0
julie-alfonse,TOTAL,--,20,49,76,1.6,0,0,0,0,0,0,0
justin-armour,1995,BuffaloBills,15,4,-5,-1.3,6,0,0,0,0,0,0
justin-armour,1996,BuffaloBills,0,0,0,0,0,0,0,0,0,0,0
justin-armour,1997,SanFrancisco49ers,1,0,0,0,0,0,0,0,0,0,0
justin-armour,1998,DenverBroncos,8,0,0,0,0,0,0,0,0,0,0
justin-armour,1999,BaltimoreRavens,15,0,0,0,0,0,0,0,0,0,0
justin-armour,TOTAL,--,39,4,-5,-1.3,6,0,0,0,0,0,0
ken-anderson-2,1971,CincinnatiBengals,11,22,125,5.7,0,1,0,0,0,0,0
ken-anderson-2,1972,CincinnatiBengals,13,22,94,4.3,0,3,0,0,0,0,0
ken-anderson-2,1973,CincinnatiBengals,14,26,97,3.7,0,0,0,0,0,0,0
ken-anderson-2,1974,CincinnatiBengals,13,43,314,7.3,0,2,0,0,0,0,0
ken-anderson-2,1975,CincinnatiBengals,13,49,188,3.8,29,2,0,0,0,0,0
ken-anderson-2,1976,CincinnatiBengals,14,31,134,4.3,25,1,0,0,0,0,0
ken-anderson-2,1977,CincinnatiBengals,14,26,128,4.9,17,2,0,0,0,0,0
ken-anderson-2,1978,CincinnatiBengals,12,29,167,5.8,16,1,0,0,0,0,0
ken-anderson-2,1979,CincinnatiBengals,15,28,235,8.4,21,2,0,0,0,0,0
ken-anderson-2,1980,CincinnatiBengals,13,16,122,7.6,20,0,0,0,0,0,0
ken-anderson-2,1981,CincinnatiBengals,16,46,320,7,25,1,0,0,0,0,0
ken-anderson-2,1982,CincinnatiBengals,9,25,85,3.4,12,4,0,0,0,0,0
ken-anderson-2,1983,CincinnatiBengals,13,22,147,6.7,29,1,0,0,0,0,0
ken-anderson-2,1984,CincinnatiBengals,11,11,64,5.8,14,0,0,0,0,0,0
ken-anderson-2,1985,CincinnatiBengals,3,1,0,0,0,0,0,0,0,0,0
ken-anderson-2,1986,CincinnatiBengals,8,0,0,0,0,0,0,0,0,0,0
ken-anderson-2,TOTAL,--,192,397,2220,5.6,208,20,0,0,0,0,0
kent-austin,1986,St.LouisCardinals,16,1,0,0,0,0,0,0,0,0,0
kent-austin,TOTAL,--,16,1,0,0,0,0,0,0,0,0,0
kim-anderson,1980,BaltimoreColts,16,0,0,0,0,0,0,0,0,0,0
kim-anderson,1981,BaltimoreColts,14,1,0,0,0,0,0,0,0,0,0
kim-anderson,1982,BaltimoreColts,9,0,0,0,0,0,0,0,0,0,0
