Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards 
maxx-williams,2016,BaltimoreRavens,4,0,0,0,0,0,0,0,0,0
maxx-williams,2017,BaltimoreRavens,11,15,86,5.7,17,1,6,40,0,0
maxx-williams,2018,BaltimoreRavens,13,16,143,8.9,25,1,7,43.75,3,0
maxx-williams,2019,ArizonaCardinals,16,15,202,13.5,28,1,11,73.33,5,0
maxx-williams,2020,ArizonaCardinals,9,8,102,12.8,42,1,4,50,2,1
maxx-williams,TOTAL,--,67,86,801,9.3,140,5,44,51.16,12,1
jonathan-williams,2016,BuffaloBills,11,1,0,0,0,0,0,0,0,0
jonathan-williams,2017,NewOrleansSaints,0,--,--,--,--,--,--,--,--,--
jonathan-williams,2018,IndianapolisColts,3,1,1,1,1,0,0,0,0,0
jonathan-williams,2019,IndianapolisColts,9,5,59,11.8,31,0,3,60,1,0
jonathan-williams,2020,WashingtonFootballTeam,5,4,21,5.3,10,0,2,50,0,0
jonathan-williams,TOTAL,--,28,11,81,7.4,42,0,5,45.45,1,0
jamaal-williams,2017,GreenBayPackers,16,25,262,10.5,54,2,12,48,3,1
jamaal-williams,2018,GreenBayPackers,16,27,210,7.8,26,0,11,40.74,2,0
jamaal-williams,2019,GreenBayPackers,14,39,253,6.5,17,5,16,41.03,0,0
jamaal-williams,2020,GreenBayPackers,14,31,236,7.6,29,1,11,35.48,1,0
jamaal-williams,TOTAL,--,60,122,961,7.9,126,8,50,40.98,6,1
duke-williams,2019,BuffaloBills,4,12,166,13.8,41,1,8,66.67,3,1
duke-williams,2020,BuffaloBills,1,--,--,--,--,--,--,--,--,--
duke-williams,TOTAL,--,5,12,166,13.8,41,1,8,66.67,3,1
darrel-williams,2018,KansasCityChiefs,6,3,27,9,11,1,1,33.33,0,0
darrel-williams,2019,KansasCityChiefs,12,15,167,11.1,52,1,7,46.67,2,1
darrel-williams,2020,KansasCityChiefs,16,18,116,6.4,15,0,6,33.33,0,0
darrel-williams,TOTAL,--,34,36,310,8.6,78,2,14,38.89,2,1
damien-williams,2014,MiamiDolphins,16,21,187,8.9,32,1,13,61.9,3,0
damien-williams,2015,MiamiDolphins,16,21,142,6.8,23,1,6,28.57,2,0
damien-williams,2016,MiamiDolphins,15,23,249,10.8,58,3,10,43.48,3,2
damien-williams,2017,MiamiDolphins,11,20,155,7.8,24,1,10,50,1,0
damien-williams,2018,KansasCityChiefs,16,23,160,7,32,2,9,39.13,1,0
damien-williams,2019,KansasCityChiefs,11,30,213,7.1,32,2,10,33.33,1,0
damien-williams,2020,KansasCityChiefs,--,--,--,--,--,--,--,--,--,--
damien-williams,TOTAL,--,85,138,1106,8,201,10,58,42.03,11,2
trayveon-williams,2019,CincinnatiBengals,11,--,--,--,--,--,--,--,--,--
trayveon-williams,2020,CincinnatiBengals,10,5,30,6,13,0,1,20,0,0
trayveon-williams,TOTAL,--,21,5,30,6,13,0,1,20,0,0
chad-williams,2017,ArizonaCardinals,6,3,31,10.3,15,0,1,33.33,0,0
chad-williams,2018,ArizonaCardinals,10,17,171,10.1,22,1,9,52.94,1,0
chad-williams,2019,IndianapolisColts,1,0,0,0,--,0,0,0,0,0
chad-williams,2020,KansasCityChiefs,--,--,--,--,--,--,--,--,--,--
chad-williams,TOTAL,--,17,20,202,10.1,37,1,10,50,1,0
antonio-williams,2020,BuffaloBills,1,1,20,20,20,0,1,100,1,0
antonio-williams,TOTAL,--,1,1,20,20,20,0,1,100,1,0
jordan-wilkins,2018,IndianapolisColts,16,16,85,5.3,17,0,2,12.5,0,0
jordan-wilkins,2019,IndianapolisColts,14,7,43,6.1,11,0,1,14.29,0,0
jordan-wilkins,2020,IndianapolisColts,15,12,105,8.8,24,0,3,25,2,0
jordan-wilkins,TOTAL,--,45,35,233,6.7,52,0,6,17.14,2,0
christian-wilkins,2019,MiamiDolphins,16,1,1,1,1,1,1,100,0,0
christian-wilkins,2020,MiamiDolphins,14,--,--,--,--,--,--,--,--,--
christian-wilkins,TOTAL,--,30,1,1,1,1,1,1,100,0,0
mike-williams,2017,LosAngelesChargers,10,11,95,8.6,20,0,7,63.64,1,0
mike-williams,2018,LosAngelesChargers,16,43,664,15.4,55,10,36,83.72,11,2
mike-williams,2019,LosAngelesChargers,15,49,1001,20.4,56,2,41,83.67,17,8
mike-williams,2020,LosAngelesChargers,15,48,756,15.8,64,5,35,72.92,13,2
mike-williams,TOTAL,--,56,151,2516,16.7,195,17,119,78.81,42,12
cole-wick,2016,DetroitLions,6,2,18,9,13,0,1,50,0,0
cole-wick,2018,TennesseeTitans,5,0,0,0,--,0,0,0,0,0
cole-wick,2019,NewOrleansSaints,--,--,--,--,--,--,--,--,--,--
cole-wick,2020,NewOrleansSaints,--,--,--,--,--,--,--,--,--,--
cole-wick,TOTAL,--,11,2,18,9,13,0,1,50,0,0
kerrith-whyte,2019,PittsburghSteelers,6,1,9,9,9,0,1,100,0,0
