Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards 
brandon-lloyd,2011,St.LouisRams,15,70,966,13.8,44,5,46,65.71,15,1
brandon-lloyd,2012,NewEnglandPatriots,16,74,911,12.3,53,4,50,67.57,10,1
brandon-lloyd,2014,SanFrancisco49ers,14,14,294,21,80,1,11,78.57,5,1
brandon-lloyd,TOTAL,--,142,399,5989,15,570,36,285,71.43,86,21
brandon-london,2008,MiamiDolphins,14,3,30,10,14,0,2,66.67,0,0
brandon-london,TOTAL,--,14,3,30,10,14,0,2,66.67,0,0
brian-leonard,2007,St.LouisRams,16,30,183,6.1,16,0,8,26.67,0,0
brian-leonard,2008,St.LouisRams,2,0,0,0,0,0,0,0,0,0
brian-leonard,2009,CincinnatiBengals,14,30,217,7.2,18,0,13,43.33,0,0
brian-leonard,2010,CincinnatiBengals,11,20,137,6.9,20,1,9,45,1,0
brian-leonard,2011,CincinnatiBengals,13,22,210,9.6,37,0,10,45.45,3,0
brian-leonard,2012,CincinnatiBengals,15,11,67,6.1,16,0,2,18.18,0,0
brian-leonard,2013,TampaBayBuccaneers,16,29,179,6.2,19,0,9,31.03,0,0
brian-leonard,2014,NewOrleansSaints,1,1,15,15,15,0,1,100,0,0
brian-leonard,TOTAL,--,88,143,1008,7.1,141,1,52,36.36,4,0
brian-leonhardt,2014,OaklandRaiders,12,6,35,5.8,12,1,2,33.33,0,0
brian-leonhardt,2015,SanFrancisco49ers,4,1,4,4,4,0,0,0,0,0
brian-leonhardt,TOTAL,--,16,7,39,5.6,16,1,2,28.57,0,0
bud-laughlin,1955,SanFrancisco49ers,10,8,54,6.8,0,0,0,0,0,0
bud-laughlin,TOTAL,--,10,8,54,6.8,0,0,0,0,0,0
buford-long,1953,NewYorkGiants,10,14,220,15.7,0,2,0,0,0,0
buford-long,1954,NewYorkGiants,12,13,178,13.7,0,1,0,0,0,0
buford-long,1955,NewYorkGiants,4,6,64,10.7,0,1,0,0,0,0
buford-long,TOTAL,--,26,33,462,14,0,4,0,0,0,0
bull-lowe,1920,CantonBulldogs,10,0,0,0,0,1,0,0,0,0
bull-lowe,1921,ClevelandIndians,7,0,0,0,0,0,0,0,0,0
bull-lowe,1925,FrankfordYellowJackets,2,0,0,0,0,0,0,0,0,0
bull-lowe,1926,FrankfordYellowJackets,2,0,0,0,0,0,0,0,0,0
bull-lowe,1927,ProvidenceSteamRoller,11,0,0,0,0,0,0,0,0,0
bull-lowe,TOTAL,--,32,0,0,0,0,1,0,0,0,0
byron-leftwich,2003,JacksonvilleJaguars,15,0,0,0,0,0,0,0,0,0
byron-leftwich,2004,JacksonvilleJaguars,14,1,-7,-7,-7,0,0,0,0,0
byron-leftwich,2005,JacksonvilleJaguars,11,0,0,0,0,0,0,0,0,0
byron-leftwich,2006,JacksonvilleJaguars,6,0,0,0,0,0,0,0,0,0
byron-leftwich,2007,AtlantaFalcons,3,0,0,0,0,0,0,0,0,0
byron-leftwich,2008,PittsburghSteelers,5,0,0,0,0,0,0,0,0,0
byron-leftwich,2009,TampaBayBuccaneers,3,0,0,0,0,0,0,0,0,0
byron-leftwich,2010,PittsburghSteelers,1,0,0,0,0,0,0,0,0,0
byron-leftwich,2012,PittsburghSteelers,2,0,0,0,0,0,0,0,0,0
byron-leftwich,TOTAL,--,60,1,-7,-7,-7,0,0,0,0,0
carl-littlefield,1938,ClevelandRams,9,1,9,9,0,0,0,0,0,0
carl-littlefield,1939,PittsburghPirates,10,1,18,18,0,0,0,0,0,0
carl-littlefield,1940,PittsburghPirates,1,0,0,0,0,0,0,0,0,0
carl-littlefield,TOTAL,--,20,2,27,13.5,0,0,0,0,0,0
chad-levitt,1997,OaklandRaiders,10,2,24,12,22,0,1,50,1,0
chad-levitt,1999,St.LouisRams,0,0,0,0,0,0,0,0,0,0
chad-levitt,TOTAL,--,10,2,24,12,22,0,1,50,1,0
chad-lewis,1997,PhiladelphiaEagles,16,12,94,7.8,17,4,6,50,0,0
chad-lewis,1998,St.LouisRams,2,0,0,0,0,0,0,0,0,0
chad-lewis,1999,PhiladelphiaEagles,12,8,88,11,21,3,7,87.5,1,0
